Date,Product,Dealer,Sales
2022-08-01,Product 1,Dealer 2,464
2022-08-02,Product 1,Dealer 2,675
2022-08-03,Product 1,Dealer 2,703
2022-08-04,Product 1,Dealer 2,887
2022-08-05,Product 1,Dealer 2,1139
2022-08-06,Product 1,Dealer 2,1077
2022-08-07,Product 1,Dealer 2,1318
2022-08-08,Product 1,Dealer 2,1260
2022-08-09,Product 1,Dealer 2,1120
2022-08-10,Product 1,Dealer 2,963
2022-08-11,Product 1,Dealer 2,996
2022-08-12,Product 1,Dealer 2,960
2022-08-13,Product 1,Dealer 2,530
2022-08-14,Product 1,Dealer 2,883
2022-08-15,Product 1,Dealer 2,894
2022-08-16,Product 1,Dealer 2,1045
2022-08-17,Product 1,Dealer 2,1199
2022-08-18,Product 1,Dealer 2,1287
2022-08-19,Product 1,Dealer 2,1565
2022-08-20,Product 1,Dealer 2,1577
2022-08-21,Product 1,Dealer 2,1076
2022-08-22,Product 1,Dealer 2,918
2022-08-23,Product 1,Dealer 2,1008
2022-08-24,Product 1,Dealer 2,1063
2022-08-25,Product 1,Dealer 2,544
2022-08-26,Product 1,Dealer 2,635
2022-08-27,Product 1,Dealer 2,804
2022-08-28,Product 1,Dealer 2,980
2022-08-29,Product 1,Dealer 2,1018
2022-08-30,Product 1,Dealer 2,1064
2022-08-31,Product 1,Dealer 2,1404
2022-09-01,Product 1,Dealer 2,1286
2022-09-02,Product 1,Dealer 2,1104
2022-09-03,Product 1,Dealer 2,999
2022-09-04,Product 1,Dealer 2,996
2022-09-05,Product 1,Dealer 2,1015
2022-09-06,Product 1,Dealer 2,615
2022-09-07,Product 1,Dealer 2,722
2022-09-08,Product 1,Dealer 2,832
2022-09-09,Product 1,Dealer 2,977
2022-09-10,Product 1,Dealer 2,1270
2022-09-11,Product 1,Dealer 2,1437
2022-09-12,Product 1,Dealer 2,1520
2022-09-13,Product 1,Dealer 2,1708
2022-09-14,Product 1,Dealer 2,1151
2022-09-15,Product 1,Dealer 2,934
2022-09-16,Product 1,Dealer 2,1159
2022-09-17,Product 1,Dealer 2,1209
2022-09-18,Product 1,Dealer 2,699
2022-09-19,Product 1,Dealer 2,830
2022-09-20,Product 1,Dealer 2,996
2022-09-21,Product 1,Dealer 2,1124
2022-09-22,Product 1,Dealer 2,1458
2022-09-23,Product 1,Dealer 2,1270
2022-09-24,Product 1,Dealer 2,1753
2022-09-25,Product 1,Dealer 2,2258
2022-09-26,Product 1,Dealer 2,1208
2022-09-27,Product 1,Dealer 2,1241
2022-09-28,Product 1,Dealer 2,1265
2022-09-29,Product 1,Dealer 2,1828
2022-09-30,Product 1,Dealer 2,809
2022-10-01,Product 1,Dealer 2,997
2022-10-02,Product 1,Dealer 2,1164
2022-10-03,Product 1,Dealer 2,1205
2022-10-04,Product 1,Dealer 2,1538
2022-10-05,Product 1,Dealer 2,1513
2022-10-06,Product 1,Dealer 2,1378
2022-10-07,Product 1,Dealer 2,2083
2022-10-08,Product 1,Dealer 2,1357
2022-10-09,Product 1,Dealer 2,1536
2022-10-10,Product 1,Dealer 2,1526
2022-10-11,Product 1,Dealer 2,1376
2022-10-12,Product 1,Dealer 2,779
2022-10-13,Product 1,Dealer 2,1005
2022-10-14,Product 1,Dealer 2,1193
2022-10-15,Product 1,Dealer 2,1522
2022-10-16,Product 1,Dealer 2,1539
2022-10-17,Product 1,Dealer 2,1546
2022-10-18,Product 1,Dealer 2,2116
2022-10-19,Product 1,Dealer 2,2326
2022-10-20,Product 1,Dealer 2,1596
2022-10-21,Product 1,Dealer 2,1356
2022-10-22,Product 1,Dealer 2,1553
2022-10-23,Product 1,Dealer 2,1613
2022-10-24,Product 1,Dealer 2,814
2022-10-25,Product 1,Dealer 2,1150
2022-10-26,Product 1,Dealer 2,1225
2022-10-27,Product 1,Dealer 2,1691
2022-10-28,Product 1,Dealer 2,1759
2022-10-29,Product 1,Dealer 2,1754
2022-10-30,Product 1,Dealer 2,2100
2022-10-31,Product 1,Dealer 2,2062
2022-11-01,Product 1,Dealer 2,2012
2022-11-02,Product 1,Dealer 2,1897
2022-11-03,Product 1,Dealer 2,1964
2022-11-04,Product 1,Dealer 2,2186
2022-11-05,Product 1,Dealer 2,966
2022-11-06,Product 1,Dealer 2,1549
2022-11-07,Product 1,Dealer 2,1538
2022-11-08,Product 1,Dealer 2,1612
2022-11-09,Product 1,Dealer 2,2078
2022-11-10,Product 1,Dealer 2,2137
2022-11-11,Product 1,Dealer 2,2907
2022-11-12,Product 1,Dealer 2,2249
2022-11-13,Product 1,Dealer 2,1883
2022-11-14,Product 1,Dealer 2,1739
